Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
80,6,15/02/2018 09:27:46,6010454,4,4,285,972,285,0,71.25,142.5,972,0,243,486,209.135616,1.331014263,858636.2857,1865827.787,5004855,6,1005599,335199.6667,576060.7201,1000372,316,6010448,2003482.667,2646706.614,5005181,5229,0,0,0,0,136,136,0.665507131,0.665507131,0,972,139.6666667,326.046009,106306,0,0,0,1,0,0,0,0,1,157.125,71.25,243,0,0,0,0,0,0,4,285,4,972,26883,219,1,32,0,0,0,0,0,0,0,0
80,6,15/02/2018 09:27:46,6005042,4,4,422,662,422,0,105.5,211,662,0,165.5,331,180.5149739,1.33221383,857863.1429,1865512.648,5003128,4,1001914,333971.3333,577525.2587,1000840,291,6005038,2001679.333,2647200.486,5003445,1074,0,0,0,0,136,136,0.666106915,0.666106915,0,662,120.4444444,246.4158635,60720.77778,0,0,0,1,0,0,0,0,1,135.5,105.5,165.5,0,0,0,0,0,0,4,422,4,662,26883,219,1,32,0,0,0,0,0,0,0,0
80,6,15/02/2018 09:27:46,6003639,4,4,548,972,548,0,137,274,972,0,243,486,253.1797798,1.332525157,857662.7143,1864593.943,5001627,2,1002012,334004,574046.9665,996851,276,6003637,2001212.333,2645559.69,5001943,5168,0,0,0,0,136,136,0.666262578,0.666262578,0,972,168.8888889,351.49269,123547.1111,0,0,0,1,0,0,0,0,1,190,137,243,0,0,0,0,0,0,4,548,4,972,26883,219,1,32,0,0,0,0,0,0,0,0
80,6,15/02/2018 09:27:46,5998377,4,4,327,972,327,0,81.75,163.5,972,0,243,486,216.5585791,1.333694098,856911,1864725.789,5001147,7,997230,332410,574875.5039,996219,274,5998370,1999456.667,2646970.823,5001457,1013,0,0,0,0,136,136,0.666847049,0.666847049,0,972,144.3333333,328.6761324,108028,0,0,0,1,0,0,0,0,1,162.375,81.75,243,0,0,0,0,0,0,4,327,4,972,26883,219,1,32,0,0,0,0,0,0,0,0
80,6,15/02/2018 09:27:46,5999806,4,4,378,972,378,0,94.5,189,972,0,243,486,225.0072752,1.333376446,857115.1429,1864179.95,5000417,7,999389,333129.6667,573178.0644,994975,294,5999799,1999933,2645510.591,5000729,4415,0,0,0,0,136,136,0.666688223,0.666688223,0,972,150,332.634935,110646,0,0,0,1,0,0,0,0,1,168.75,94.5,243,0,0,0,0,0,0,4,378,4,972,26883,219,1,32,0,0,0,0,0,0,0,0
80,6,15/02/2018 09:27:46,6000302,4,4,386,972,386,0,96.5,193,972,0,243,486,226.3219418,1.333266226,857186,1866117.138,5004833,4,995469,331823,574311.6764,994981,200,6000292,2000097.333,2649488.527,5005134,482,0,0,0,0,136,136,0.666633113,0.666633113,0,972,150.8888889,333.3303333,111109.1111,0,0,0,1,0,0,0,0,1,169.75,96.5,243,0,0,0,0,0,0,4,386,4,972,26883,219,1,32,0,0,0,0,0,0,0,0
80,6,15/02/2018 09:27:46,6000395,4,4,382,972,382,0,95.5,191,972,0,243,486,225.6518113,1.333245561,857199.2857,1865504.914,5003271,4,997124,332374.6667,574751.9598,996041,289,6000390,2000130,2648185.064,5003585,1082,0,0,0,0,136,136,0.666622781,0.666622781,0,972,150.4444444,332.9801462,110875.7778,0,0,0,1,0,0,0,0,1,169.25,95.5,243,0,0,0,0,0,0,4,382,4,972,26883,219,1,32,0,0,0,0,0,0,0,0
80,6,15/02/2018 09:27:46,5998983,4,4,543,972,543,0,135.75,271.5,972,0,243,486,252.542806,1.333559372,856997.5714,1864381.721,5001127,2,997856,332618.6667,571858.3214,992939,283,5998981,1999660.333,2646091.274,5001416,4924,0,0,0,0,136,136,0.666779686,0.666779686,0,972,168.3333333,350.8218921,123076,0,0,0,1,0,0,0,0,1,189.375,135.75,243,0,0,0,0,0,0,4,543,4,972,26883,219,1,32,0,0,0,0,0,0,0,0
80,6,15/02/2018 09:27:46,5999411,4,4,717,972,717,0,179.25,358.5,972,0,243,486,281.5276366,1.333464235,857058.7143,1864182.598,5000850,3,998561,332853.6667,571257.2021,992477,288,5999408,1999802.667,2645600.107,5001162,6090,0,0,0,0,136,136,0.666732118,0.666732118,0,972,187.6666667,377.8068289,142738,0,0,0,1,0,0,0,0,1,211.125,179.25,243,0,0,0,0,0,0,4,717,4,972,26883,221,1,32,0,0,0,0,0,0,0,0
80,6,15/02/2018 09:27:46,5993130,4,4,350,972,350,0,87.5,175,972,0,243,486,220.5859042,1.33486175,856161.4286,1864284.606,5000070,6,993060,331020,572557.1325,992152,284,5993124,1997708,2647173.771,5000384,909,0,0,0,0,136,136,0.667430875,0.667430875,0,972,146.8888889,330.3590639,109137.1111,0,0,0,1,0,0,0,0,1,165.25,87.5,243,0,0,0,0,0,0,4,350,4,972,26883,219,1,32,0,0,0,0,0,0,0,0
