Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
80,6,15/02/2018 09:55:55,5007975,4,4,433,662,433,0,108.25,216.5,662,0,165.5,331,218.6512513,1.597452064,715425,1890162.816,5001909,5,6066,2022,3214.272546,5730,28,5007970,1669323.333,2886354.386,5002197,340,0,0,0,0,136,136,0.798726032,0.798726032,0,662,121.6666667,248.1199307,61563.5,0,0,0,1,0,0,0,0,1,136.875,108.25,165.5,0,0,0,0,0,0,4,433,4,662,26883,219,1,32,0,0,0,0,0,0,0,0
80,6,15/02/2018 09:55:55,5006840,4,4,436,662,436,0,109,218,662,0,165.5,331,219.2999976,1.59781419,715262.8571,1889518.347,5000285,6,6555,2185,3459.679031,6178,82,5006834,1668944.667,2885329.751,5000635,377,0,0,0,0,136,136,0.798907095,0.798907095,0,662,122,248.5920353,61798,0,0,0,1,0,0,0,0,1,137.25,109,165.5,0,0,0,0,0,0,4,436,4,662,26883,219,1,32,0,0,0,0,0,0,0,0
80,6,15/02/2018 09:55:55,5049278,4,4,388,972,388,0,97,194,972,0,243,486,269.3454391,1.584384936,721325.4286,1888930.527,5004860,7,44418,14806,25196.14312,43900,258,5049271,1683090.333,2877067.742,5005149,533,0,0,0,0,136,136,0.792192468,0.792192468,0,972,151.1111111,333.5072879,111227.1111,0,0,0,1,0,0,0,0,1,170,97,243,0,0,0,0,0,0,4,388,4,972,26883,219,1,32,0,0,0,0,0,0,0,0
80,6,15/02/2018 09:55:55,5015455,4,4,439,972,439,0,109.75,219.5,972,0,243,486,281.3304077,1.59506964,716493.5714,1889700.116,5001917,7,13538,4512.666667,7505.249518,13178,67,5015448,1671816,2884186.652,5002180,360,0,0,0,0,136,136,0.79753482,0.79753482,0,972,156.7777778,338.4323336,114536.4444,0,0,0,1,0,0,0,0,1,176.375,109.75,243,0,0,0,0,0,0,4,439,4,972,26883,219,1,32,0,0,0,0,0,0,0,0
80,6,15/02/2018 09:55:55,5011426,4,4,521,972,521,0,130.25,260.5,972,0,243,486,297.9191951,1.596352016,715918,1891119.146,5004570,6,6856,2285.333333,3681.856235,6534,28,5011420,1670473.333,2887673.729,5004870,323,0,0,0,0,136,136,0.798176008,0.798176008,0,972,165.8888889,347.9498687,121069.1111,0,0,0,1,0,0,0,0,1,186.625,130.25,243,0,0,0,0,0,0,4,521,4,972,26883,219,1,32,0,0,0,0,0,0,0,0
80,6,15/02/2018 09:55:55,5010035,4,4,384,972,384,0,96,192,972,0,243,486,270.6567918,1.596795232,715719.2857,1890483.285,5002929,7,7106,2368.666667,3821.14673,6779,50,5010028,1670009.333,2886629.443,5003200,328,0,0,0,0,136,136,0.798397616,0.798397616,0,972,150.6666667,333.1546188,110992,0,0,0,1,0,0,0,0,1,169.5,96,243,0,0,0,0,0,0,4,384,4,972,26883,219,1,32,0,0,0,0,0,0,0,0
80,6,15/02/2018 09:55:55,5026171,4,4,448,662,448,0,112,224,662,0,165.5,331,220.844058,1.591668887,718024.4286,1888638.783,5001005,6,25166,8388.666667,14275.50673,24872,25,5026165,1675388.333,2880394.487,5001352,296,0,0,0,0,136,136,0.795834443,0.795834443,0,662,123.3333333,250.5114768,62756,0,0,0,1,0,0,0,0,1,138.75,112,165.5,0,0,0,0,0,0,4,448,4,662,26883,219,1,32,0,0,0,0,0,0,0,0
80,6,15/02/2018 09:55:55,5011247,4,4,455,972,455,0,113.75,227.5,972,0,243,486,284.7594621,1.596409038,715892.4286,1891006.518,5004289,6,6958,2319.333333,3693.992059,6584,116,5011241,1670413.667,2887502.821,5004613,374,0,0,0,0,136,136,0.798204519,0.798204519,0,972,158.5555556,340.1378805,115693.7778,0,0,0,1,0,0,0,0,1,178.375,113.75,243,0,0,0,0,0,0,4,455,4,972,26883,219,1,32,0,0,0,0,0,0,0,0
80,6,15/02/2018 09:55:55,5010336,4,4,427,972,427,0,106.75,213.5,972,0,243,486,279.2227906,1.596699303,715762.2857,1890578.981,5003189,7,7147,2382.333333,3858.717447,6836,40,5010329,1670109.667,2886800.647,5003498,311,0,0,0,0,136,136,0.798349652,0.798349652,0,972,155.4444444,337.2028733,113705.7778,0,0,0,1,0,0,0,0,1,174.875,106.75,243,0,0,0,0,0,0,4,427,4,972,26883,219,1,32,0,0,0,0,0,0,0,0
80,6,15/02/2018 09:55:55,5010790,4,4,316,972,316,0,79,158,972,0,243,486,257.0452963,1.596554635,715827.1429,1890710.408,5003552,6,7238,2412.666667,3770.987448,6767,222,5010784,1670261.333,2886973.158,5003849,473,0,0,0,0,136,136,0.798277318,0.798277318,0,972,143.1111111,327.9315647,107539.1111,0,0,0,1,0,0,0,0,1,161,79,243,0,0,0,0,0,0,4,316,4,972,26883,219,1,32,0,0,0,0,0,0,0,0
80,6,15/02/2018 09:55:55,5012313,4,4,476,662,476,0,119,238,662,0,165.5,331,227.0408891,1.596069519,716044.7143,1889589.883,5001223,7,11090,3696.666667,6051.877422,10684,113,5012306,1670768.667,2884502.273,5001500,408,0,0,0,0,136,136,0.79803476,0.79803476,0,662,126.4444444,255.1779336,65115.77778,0,0,0,1,0,0,0,0,1,142.25,119,165.5,0,0,0,0,0,0,4,476,4,662,26883,219,1,32,0,0,0,0,0,0,0,0
80,6,15/02/2018 09:55:55,5009908,4,4,364,662,364,0,91,182,662,0,165.5,331,204.7941799,1.59683571,715701.1429,1890375.305,5002666,7,7242,2414,3822.976327,6828,156,5009901,1669967,2886474.67,5002979,415,0,0,0,0,136,136,0.798417855,0.798417855,0,662,114,238.1638092,56722,0,0,0,1,0,0,0,0,1,128.25,91,165.5,0,0,0,0,0,0,4,364,4,662,26883,219,1,32,0,0,0,0,0,0,0,0
80,6,15/02/2018 09:55:55,5011021,4,4,393,662,393,0,98.25,196.5,662,0,165.5,331,210.5359367,1.596481037,715860.1429,1890888.546,5003989,6,7032,2344,3770.789307,6696,50,5011015,1670338.333,2887267.65,5004266,338,0,0,0,0,136,136,0.798240518,0.798240518,0,662,117.2222222,242.1320806,58627.94444,0,0,0,1,0,0,0,0,1,131.875,98.25,165.5,0,0,0,0,0,0,4,393,4,662,26883,219,1,32,0,0,0,0,0,0,0,0
80,6,15/02/2018 09:55:55,5008896,4,4,530,972,530,0,132.5,265,972,0,243,486,299.8664776,1.597158336,715556.5714,1889740.899,5001082,5,7814,2604.666667,4235.556909,7493,26,5008891,1669630.333,2885418.24,5001422,323,0,0,0,0,136,136,0.798579168,0.798579168,0,972,166.8888889,349.1090247,121877.1111,0,0,0,1,0,0,0,0,1,187.75,132.5,243,0,0,0,0,0,0,4,530,4,972,26883,219,1,32,0,0,0,0,0,0,0,0
80,6,15/02/2018 09:55:55,5009209,4,4,577,972,577,0,144.25,288.5,972,0,243,486,309.2304593,1.597058538,715601.2857,1889974.599,5001657,6,7552,2517.333333,4056.058719,7199,62,5009203,1669734.333,2885799.121,5001966,354,0,0,0,0,136,136,0.798529269,0.798529269,0,972,172.1111111,355.5124627,126389.1111,0,0,0,1,0,0,0,0,1,193.625,144.25,243,0,0,0,0,0,0,4,577,4,972,26883,219,1,32,0,0,0,0,0,0,0,0
80,6,15/02/2018 09:55:55,5009585,4,4,498,662,498,0,124.5,249,662,0,165.5,331,231.5561069,1.596938669,715655,1890227.687,5002285,6,7300,2433.333333,3860.315186,6890,130,5009579,1669859.667,2886220.392,5002578,413,0,0,0,0,136,136,0.798469334,0.798469334,0,662,128.8888889,259.0214491,67092.11111,0,0,0,1,0,0,0,0,1,145,124.5,165.5,0,0,0,0,0,0,4,498,4,662,26883,219,1,32,0,0,0,0,0,0,0,0
80,6,15/02/2018 09:55:55,5008713,4,4,389,972,389,0,97.25,194.5,972,0,243,486,271.7264894,1.59721669,715530.4286,1889644.004,5000836,6,7877,2625.666667,4238.076726,7518,79,5008707,1669569,2885195.131,5001103,360,0,0,0,0,136,136,0.798608345,0.798608345,0,972,151.2222222,333.5962297,111286.4444,0,0,0,1,0,0,0,0,1,170.125,97.25,243,0,0,0,0,0,0,4,389,4,972,26883,219,1,32,0,0,0,0,0,0,0,0
80,6,15/02/2018 09:39:35,8936024,2,0,0,0,0,0,0,0,0,0,0,0,0,0.223813186,8936024,0,8936024,8936024,8936024,8936024,0,8936024,8936024,0,0,0,0,0,0,0,0,0,64,0,0.223813186,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,226,-1,0,32,0,0,0,0,8936024,0,8936024,8936024
80,6,15/02/2018 09:39:35,23033355,2,0,0,0,0,0,0,0,0,0,0,0,0,0.086830599,23033355,0,23033355,23033355,23033355,23033355,0,23033355,23033355,0,0,0,0,0,0,0,0,0,64,0,0.086830599,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,226,-1,0,32,0,0,0,0,23033355,0,23033355,23033355
80,6,15/02/2018 09:39:35,8936091,2,0,0,0,0,0,0,0,0,0,0,0,0,0.223811508,8936091,0,8936091,8936091,8936091,8936091,0,8936091,8936091,0,0,0,0,0,0,0,0,0,64,0,0.223811508,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,226,-1,0,32,0,0,0,0,8936091,0,8936091,8936091
80,6,15/02/2018 09:39:35,23152547,2,0,0,0,0,0,0,0,0,0,0,0,0,0.086383585,23152547,0,23152547,23152547,23152547,23152547,0,23152547,23152547,0,0,0,0,0,0,0,0,0,64,0,0.086383585,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,221,-1,0,32,0,0,0,0,23152547,0,23152547,23152547
80,6,15/02/2018 09:39:35,23152332,2,0,0,0,0,0,0,0,0,0,0,0,0,0.086384387,23152332,0,23152332,23152332,23152332,23152332,0,23152332,23152332,0,0,0,0,0,0,0,0,0,64,0,0.086384387,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,226,-1,0,32,0,0,0,0,23152332,0,23152332,23152332
80,6,15/02/2018 09:39:35,23033291,2,0,0,0,0,0,0,0,0,0,0,0,0,0.08683084,23033291,0,23033291,23033291,23033291,23033291,0,23033291,23033291,0,0,0,0,0,0,0,0,0,64,0,0.08683084,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,226,-1,0,32,0,0,0,0,23033291,0,23033291,23033291
80,6,15/02/2018 09:39:35,8932070,2,0,0,0,0,0,0,0,0,0,0,0,0,0.223912262,8932070,0,8932070,8932070,8932070,8932070,0,8932070,8932070,0,0,0,0,0,0,0,0,0,64,0,0.223912262,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,226,-1,0,32,0,0,0,0,8932070,0,8932070,8932070
