Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
0,0,14/02/2018 08:31:01,112641719,3,0,0,0,0,0,0,0,0,0,0,0,0,0.026633116,56320859.5,139.3000359,56320958,56320761,112641719,56320859.5,139.3000359,56320958,56320761,0,0,0,0,0,0,0,0,0,0,0,0.026633116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0,0,0,0,56320859.5,139.3000359,56320958,56320761
0,0,14/02/2018 08:33:50,112641466,3,0,0,0,0,0,0,0,0,0,0,0,0,0.026633176,56320733,114.5512986,56320814,56320652,112641466,56320733,114.5512986,56320814,56320652,0,0,0,0,0,0,0,0,0,0,0,0.026633176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0,0,0,0,56320733,114.5512986,56320814,56320652
0,0,14/02/2018 08:36:39,112638623,3,0,0,0,0,0,0,0,0,0,0,0,0,0.026633848,56319311.5,301.9345956,56319525,56319098,112638623,56319311.5,301.9345956,56319525,56319098,0,0,0,0,0,0,0,0,0,0,0,0.026633848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0,0,0,0,56319311.5,301.9345956,56319525,56319098
22,6,14/02/2018 08:40:13,6453966,15,10,1239,2273,744,0,82.6,196.7412369,976,0,227.3,371.6778922,544.161528,3.873587187,268915.25,247443.779,673900,22,6453966,460997.5714,123109.4236,673900,229740,5637902,626433.5556,455082.2142,1167293,554,0,0,0,0,488,328,2.324152312,1.549434875,0,976,135.0769231,277.83476,77192.15385,0,0,0,1,0,0,0,0,0,140.48,82.6,227.3,0,0,0,0,0,0,15,1239,10,2273,65535,233,6,32,0,0,0,0,0,0,0,0
22,6,14/02/2018 08:40:23,8804066,14,11,1143,2209,744,0,81.64285714,203.7455454,976,0,200.8181818,362.2498635,380.7331749,2.839597068,366836.0833,511356.6097,1928102,21,8804066,677235.8462,532416.971,1928102,246924,7715481,771548.1,755543.0827,2174893,90,0,0,0,0,456,360,1.590174358,1.24942271,0,976,128.9230769,279.7630316,78267.35385,0,0,0,1,0,0,0,0,0,134.08,81.64285714,200.8181818,0,0,0,0,0,0,14,1143,11,2209,5808,233,6,32,0,0,0,0,0,0,0,0
22,6,14/02/2018 08:40:31,6989341,16,12,1239,2273,744,0,77.4375,190.8311536,976,0,189.4166667,347.6425694,502.4794183,4.006100146,258864.4815,291724.1479,951098,20,6989341,465956.0667,244363.8964,951098,265831,5980598,543690.7273,460713.5198,1254338,78,0,0,0,0,332,252,2.289200083,1.716900063,0,976,121.1034483,265.7086676,70601.09606,0,0,0,1,0,0,0,0,0,125.4285714,77.4375,189.4166667,0,0,0,0,0,0,16,1239,12,2273,5808,234,7,20,0,0,0,0,0,0,0,0
0,0,14/02/2018 08:39:28,112640480,3,0,0,0,0,0,0,0,0,0,0,0,0,0.026633409,56320240,203.646753,56320384,56320096,112640480,56320240,203.646753,56320384,56320096,0,0,0,0,0,0,0,0,0,0,0,0.026633409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0,0,0,0,56320240,203.646753,56320384,56320096
0,0,14/02/2018 08:42:17,112641244,3,0,0,0,0,0,0,0,0,0,0,0,0,0.026633229,56320622,62.22539674,56320666,56320578,112641244,56320622,62.22539674,56320666,56320578,0,0,0,0,0,0,0,0,0,0,0,0.026633229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0,0,0,0,56320622,62.22539674,56320666,56320578
80,6,14/02/2018 08:47:14,476513,5,3,211,463,211,0,42.2,94.36206865,463,0,154.3333333,267.3131746,1414.441998,16.78862906,68073.28571,115865.7927,237711,24,476513,119128.25,137379.9634,238470,108,238634,119317,167621.0767,237843,791,0,0,0,0,168,104,10.49289316,6.295735898,0,463,74.88888889,161.4058893,26051.86111,0,0,0,1,0,0,0,0,0,84.25,42.2,154.3333333,0,0,0,0,0,0,5,211,3,463,14600,219,1,32,0,0,0,0,0,0,0,0
80,6,14/02/2018 08:47:15,475048,5,3,220,472,220,0,44,98.38699101,472,0,157.3333333,272.5093271,1456.694902,16.8404035,67864,115746.9332,237494,15,475048,118762,137096.7596,237853,15,237516,118758,167472.5843,237179,337,0,0,0,0,168,104,10.52525219,6.315151311,0,472,76.88888889,165.0669898,27247.11111,0,0,0,1,0,0,0,0,0,86.5,44,157.3333333,0,0,0,0,0,0,5,220,3,472,14600,219,1,32,0,0,0,0,0,0,0,0
